a 啊阿呵腌嗄锕
ai 爱碍埃哀挨哎唉矮艾癌隘蔼嗳皑霭捱暧瑷娭
an 安广按厂案暗岸氨俺铵胺鞍黯庵桉谙鮟鹌咹犴
ang 仰昂盎肮
ao 奥澳傲凹熬袄懊拗坳螯鳌敖翱遨嗷鏖岙媪鏊骜
ba 把八吧巴爸伯罢拔霸坝叭芭扒跋疤靶耙粑笆钯
bai 白百伯摆败拜柏呗掰稗捭佰
ban 办般半班板伴版搬斑扮颁瓣拌扳绊坂阪舨瘢柈
bang 帮旁邦膀棒彭傍榜绑梆磅蚌镑谤浜
bao 保报包胞宝暴抱剥薄炮爆饱堡孢豹瀑刨鲍苞雹葆曝褒鸨褓煲
bei 被北备背倍悲贝杯辈勃臂卑碑呗狈惫钡悖孛蓓焙陂碚褙
ben 本奔笨苯贲坌夯畚锛
beng 崩蹦绷甭迸泵蚌嘣
bi 比必佛笔毕避壁秘闭鼻币彼逼辟臂泌碧弊蔽拂鄙毙弼痹庇陛璧婢敝匕俾裨荸吡哔蓖贲襞铋秕毖愎髀篦睥畀妣筚
bian 变便边遍编辩辨鞭扁贬辫蝙匾卞鳊汴砭弁苄
biao 表标彪镖膘裱婊鳔俵飚飙骠镳飑
bie 别憋瘪鳖蹩
bin 份频宾滨斌彬濒缤鬓槟殡摈膑邠玢
bing 并病兵冰屏饼丙柄炳秉禀槟摒
bo 波佛伯播剥薄博玻勃拨柏脖卜搏泊驳膊舶簿渤簸菠箔跛钵铂僰帛礴饽钹亳啵檗
bu 不部步布补捕堡卜哺埔怖簿埠钚卟逋
ca 擦拆嚓
cai 才采材财彩菜裁猜蔡踩睬
can 参残餐惨蚕灿掺惭璨孱粲
cang 藏苍仓舱沧臧伧
cao 草操曹槽糙嘈漕螬
ce 策测侧册厕栅恻
cen 参岑涔
ceng 层曾蹭噌
cha 差察查茶插叉刹喳岔诧茬嚓楂杈碴汊搽衩姹槎
chai 差柴拆钗豺侪虿
chan 产单颤阐缠禅崭铲掺潺馋蝉搀蟾忏谄孱谗巉廛羼
chang 长常场厂唱昌肠偿尝倡畅倘敞裳淌猖怅嫦娼氅菖昶徜鲳惝
chao 朝超潮吵巢抄嘲剿炒钞绰晁焯
che 车彻尺撤扯澈掣
chen 称陈沉晨臣尘沈趁衬辰忱嗔琛抻伧谶碜宸郴谌
cheng 成程称城承盛净抢诚呈乘惩撑澄秤橙逞丞骋瞠铛塍柽埕琤
chi 吃持池尺赤迟斥齿翅驰耻痴匙弛炽哧侈嗤叱敕啻饬笞踟柢呎茌褫鸱勅墀
chong 种重充冲虫崇涌宠憧忡舂铳
chou 抽筹仇丑愁臭酬畴瞅绸稠踌惆
chu 出处除初础助楚触畜储厨锄橱雏躇矗搐刍蜍怵滁黜绌杵蹰
chuai 揣啜踹
chuan 传船穿川串喘椽氚钏舛
chuang 创床窗闯幢疮怆
chui 吹垂锤椎炊捶槌陲棰
chun 春纯唇醇蠢淳椿莼鹑
chuo 绰戳啜辍龊淖
ci 此次差词刺磁辞雌慈兹瓷赐茨祠伺疵呲糍鹚
cong 从匆丛聪葱囱淙熜琮
cou 凑腠辏
cu 促趣粗趋簇醋卒蹙猝蹴徂
cuan 窜篡攒蹿爨撺
cui 衰催翠脆粹崔摧萃悴瘁璀啐淬
cun 存村寸忖皴吋
cuo 错措挫搓撮磋锉蹉矬厝
da 大打达答搭瘩嗒哒鞑沓耷惮靼跶褡怛
dai 大代带待毒袋戴呆贷逮歹岱傣玳怠黛殆迨甙棣呔诒埭
